expName,curec_ID,session,session_nr,date,end_date,participant,age,gender,gripper_baseline,max_effort_calibration_1,max_effort_calibration_2,max_effort_calibration_3,max_effort,max_effort_baseline_corrected,trial_count,reward_offer,next_reward_offer,reward_earned,total_reward,effort_offer,next_effort_offer,effort_expended,estimated_k,estimated_net_value,participant_response,participant_choice_response_time,participant_effort_response_time
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,1,18,25,18,18,6,7,85.0,0.5,0.0,None,7.556839099968784,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,1,25,25,18,18,7,7,85.0,0.5,0.0,None,7.556839099968784,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,2,25,28,25,43,7,9,151.0,0.5,0.5,None,2.9670169999590144,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,2,28,28,25,43,9,9,151.0,0.5,0.5,None,2.9670169999590144,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,3,28,8,25,68,9,4,151.0,0.5,-12.5,None,1.375251300050877,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,3,8,8,25,68,4,4,151.0,0.5,-12.5,None,1.375251300050877,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,4,8,25,25,93,4,7,151.0,0.5,0.0,None,1.204527399968356,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,4,25,25,25,93,7,7,151.0,0.5,0.0,None,1.204527399968356,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,5,25,8,25,118,7,2,146.0,0.5,0.5,None,1.7007324000587687,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,5,8,8,25,118,2,2,146.0,0.5,0.5,None,1.7007324000587687,None
pgACC-TUS-staircase,,,,2024-02-01_16h25.00.331,None,,,,None,None,None,None,None,None,5,8,8,25,118,2,2,146.0,0.5,0.5,None,1.7007324000587687,None
